abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
PA,Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,97131
RI,Rhode Island,0,0,80,0,938,42,1660,0,29,801,39,128,0,112,0,0,0,0,0,74,202,7832,0,24,0,0,0,0,36,285,329,0,1619,196,0,39,0,23,168,N/A,33,0,69,89,0,31,373,113,0,16,0,15380,18121
SC,South Carolina,244,232,495,0,1800,208,835,97,101,4575,6446,449,0,733,148,0,55,282,76,26,1294,760,517,37,110,83,0,68,211,119,1403,0,3311,13372,0,1091,129,0,1174,69,N/A,0,691,1481,62,17,2423,366,138,0,0,45728,33624
SD,South Dakota,0,24,284,0,346,334,0,0,17,0,0,0,0,38,0,851,18,0,0,0,0,0,0,985,0,21,46,470,95,0,0,0,0,0,255,0,0,0,0,0,0,N/A,0,279,22,0,0,30,0,0,187,4302,3604
TN,Tennessee,3198,132,900,1907,3300,520,206,40,115,5100,6019,417,0,2482,773,22,355,5538,705,20,495,271,1566,264,5705,913,0,118,386,26,325,63,1085,1933,0,1463,352,81,359,17,732,0,N/A,3468,137,0,2670,568,34,291,0,55071,50153
TX,Texas,1907,1389,7904,4474,33230,8123,1252,247,434,13039,5686,2734,329,9014,1813,704,3946,1298,12269,64,2877,2328,3232,1602,1636,3697,67,1194,2946,365,3001,7315,6340,4359,178,2827,10807,1228,2031,181,1105,109,3107,N/A,2016,54,5063,4715,0,1108,133,185477,162979
UT,Utah,0,256,3293,0,9489,1670,72,0,0,386,115,424,2895,350,38,26,50,25,47,0,145,277,184,122,23,122,172,193,3006,28,64,567,258,121,0,130,128,825,91,19,17,26,55,1337,N/A,20,245,1817,0,94,739,29961,34817
VT,Vermont,0,0,56,0,163,27,607,0,21,114,0,0,0,36,0,0,0,0,0,96,26,1477,0,0,0,0,0,0,0,1603,76,0,1018,0,0,18,0,24,74,24,0,0,0,24,0,N/A,49,37,0,0,0,5570,5353
VA,Virginia,876,294,1870,118,11101,1780,1914,541,6970,9435,3196,2396,91,2802,306,90,556,412,502,253,18175,2595,1114,325,481,560,0,179,543,263,4366,329,9742,8709,0,1942,519,225,4688,917,2262,0,2333,6088,626,39,N/A,1741,1577,250,0,116091,96296
WA,Washington,140,2090,4497,62,26033,2833,637,38,173,2600,1145,2588,4582,1790,229,117,453,230,260,71,830,937,675,685,35,451,1636,300,2409,141,552,457,1478,984,151,657,467,19601,592,177,461,39,352,4655,2241,35,1379,N/A,0,360,63,93368,83048
WV,West Virginia,0,0,0,0,21,0,0,0,57,135,0,0,0,0,0,0,0,388,0,0,3290,0,0,0,0,0,0,0,0,0,0,0,0,180,0,2467,0,0,917,0,20,0,0,21,0,0,2973,0,N/A,0,0,10469,7662
WI,Wisconsin,0,71,1189,15,1992,345,117,0,80,778,230,89,0,13308,409,674,139,42,34,0,164,222,1407,8891,32,247,0,144,342,0,81,51,388,163,38,368,26,110,156,0,0,0,143,664,109,0,157,302,0,N/A,0,33717,29849
WY,Wyoming,0,25,353,0,395,1807,0,0,0,0,20,29,144,0,0,0,0,0,0,0,0,0,0,13,0,0,346,262,141,0,0,24,16,0,41,0,0,12,0,0,0,233,0,98,719,0,0,55,0,0,N/A,4733,4810
